id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
13899,,HOTEL COLORADO,DINNER,COMMERCIAL,"[GLENWOOD SPRINGS, CO]",FOLDER; ILLUS; COL; 4.5X6.25;,,"ILLU, WOMAN IN GOLFING OUTFIT, RED JACKET, GREEN AND RED PLAID SKIRT, FEDORA WITH FEATHER,  TEEING UP WITH GOLF CLUB;",1900-3854,,,7/8/1900,Hotel Colorado,,,,complete,4,36
13900,,CATSKILL MOUNTAIN HOUSE,DINNER,COMMERCIAL,[NEW YORK],FOLDER; ILLUS; COL; 5.5X7.0;,,"ILLUS, FIVE PHOTOGRAPHIC VIEWS OF THE CATSKILL REGION AGAINST A BACKGROUND OF A BOUQUET OF FLOWERS;",1900-3855,,,7/8/1900,Catskill Mountain House,,,,complete,4,61
13901,,CATSKILL MOUNTAIN HOUSE,SUNDAY SUPPER,COMMERCIAL,[NEW YORK],CARD; ILLUS; 4.5X8.0;,,"ILLUS, PHOTOGRAPHIC VIEW OF ""MOUNTAIN HOUSE & LEDGE; DATE HAND WRITTEN [FEB?];",1900-3856,,,7/8/1900,Catskill Mountain House,,,,complete,2,67
13902,,HOTEL VICTORY,BREAKFAST,COMMERCIAL,"PUT IN BAY ISLAND, OHIO",BROADSIDE; 4.57.25;,,"""BREAKFAAST"" EMBOSSED IN GOLD SCRIPT;",1900-3857,,,7/8/1900,Hotel Victory,,,,complete,2,54
13905,,HOTEL COLORADO,DINNER,COMMERCIAL,"GLENWOOD SPRINGS, CO",BROADSIDE; 5.5X7.0;,,,1900-3860,,,7/9/1900,Hotel Colorado,,,,complete,2,35
13906,,PLANTERS HOTEL,DINNER A LA CARTE,COMMERCIAL,"ST. LOUIS, [MO];",FOLDER; ILLUS; COL; 5.5X8.0;,,"ETCHING OF PLANTERS HOTEL ON FRONT; ETCHING OF GRAND HOTEL, MACINAC ISLAND, MI ON REAR;",1900-3862,,,7/9/1900,Planters Hotel,,Dollars,$,complete,4,141
13907,,HOTEL COLORADO,LUNCHEON,COMMERCIAL,"GLENWOOD SPRINGS, CO",BROADSIDE; 3.5X9.25;,,"NOTE ON BOTTOM OF MENU: ""DURING POLO SEASON DINNER WILL BE SERVED FROM 6:30 TO 8:30;",1900-3863,,,7/9/1900,Hotel Colorado,,,,complete,2,42
13908,,CATSKILL MOUNTAIN HOUSE,BREAKFAST,COMMERCIAL,[NEW YORK],CARD; ILLUS; 4.5X8.0;,,"ILLUS, PHOTOGRAPHIC VIEW OF ""MOUNTAIN HOUSE & LEDGE; DATE HAND WRITTEN [FEB?];",1900-3864,,,7/10/1900,Catskill Mountain House,,,,complete,2,73
13909,,HOTEL COLORADO,BREAKFAST,COMMERCIAL,"GLENWOOD SPRINGS, CO",BROADSIDE; 5.5X7.0;,,,1900-3865,,,7/10/1900,Hotel Colorado,,,,complete,2,55
13910,,PLANTERS HOTEL,DINNER,COMMERCIAL,"ST. LOUIS, [MO];",FOLDER; ILLUS; COL; 5.5X8.0;,,"ETCHING OF PLANTERS HOTEL ON FRONT; ETCHING OF GRAND HOTEL, MACINAC ISLAND, MI ON REAR;",1900-3866,,,7/10/1900,Planters Hotel,,,,complete,4,42
13911,,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,BREAKFAST,COMMERCIAL,ON BOARD SS NORTH LAND,FOLDER; ILLUS; 7.0X11.0;,,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME;",1900-3867,,,1/1/1900,Northern Steamship Company/Great Northern Ry Line.,,Dollars,$,complete,4,166
13912,,RUSSELL HOUSE,TABLE D'HOTE,COMMERCIAL,"DETROIT, MI",BROADSIDE; ILLUS; COL; 4.5X7.0;,,PURPLE PAPER; DOUBLE IMPERIAL EAGLE WITH CORONETS IN GOLD; ELVES FROLICKING IN WHITE; MENU ON WHITE PAPER GLUED TO THE PURPLE BACKGROUND;,1900-3868,,,7/11/1900,Russell House,,,,complete,2,31
13913,,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,DINNER,COMMERCIAL,ON BOARD SS NORTH LAND,FOLDER; ILLUS; 7.0X11.0;,,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME; WINE LIST INCLUDED;",1900-3869,,,7/11/1900,Northern Steamship Company/Great Northern Ry Line.,,Dollars,$,complete,4,213
13915,,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,A LA CARTE,COMMERCIAL,ON BOARD SS NORTH LAND,FOLDER; ILLUS; 7.0X11.0;,,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME;",1900-3871,,,1/1/1900,Northern Steamship Company/Great Northern Ry Line.,,Dollars,$,complete,4,248
13916,,(NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.),LUNCHEON,COMMERCIAL,ON BOARD SS NORTH LAND,CARD; ILLUS; 7.25X12.75,,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME;",1900-3872,,,7/11/1900,Northern Steamship Company/Great Northern Ry Line.,,Dollars,$,complete,2,107
13917,,HOTEL VICTORY,EVENING DINNER,COMMERCIAL,"PUT IN BAY ISLAND, OH",FOLDER; ILLUS; COL; 4.25X6.25;,,"COVER SAYS ""MENU SEASON OF 1900"";",1900-3873,,,7/12/1900,Hotel Victory,,,,complete,4,39
13918,,NATIONAL LIFE INSURANCE CO.,SEMI-CENTENNIAL CELEBRATION/LUNCHEON,PROF;,"HOTEL CHAMPLAIN, CLINTON COUNTY, NY;",FOLDER; ILLUS; COL; 5.5X7.0;,,"ILLUS. GLOBE WITH LEGEND ""THE BEST INSURANCE IN THE WORLD, ESTABLISHED 1850"" IN CLOUDS;",1900-3875,,,7/12/1900,National Life Insurance Co.,,,,complete,4,41
13919,,MENZIES HOTEL,LUNCHEON,COMMERCIAL,"[MELBOURNE,AUSTRALIA?]",BROADSHEET;ILL;7X10;,DAILY;,MENU ATTACHED TO OAKTAG SHEET;UNREALISTIC FISH AMONG FOLIAGE;HOTEL EMBLEM;,1900-4669,,,10/11/1900,Menzies Hotel,,,,complete,2,30
13921,,LONG BEACH HOTEL,SUPPER,COMMERCIAL,"LONG BEACH,LI,[NY?]",CARD; ILLUS; COL; 5 X 7;,DAILY,,1900-4083,,,8/18/1900,Long Beach Hotel,,,,complete,2,44
