id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
14147,,OCEANIC STEAMSHIP COMPANY,DINNER - SECOND CABIN,COMMERCIAL,SS SONOMA,CARD; ILLUS; COL; 5.5X6.75;,,STEAMSHIP COMPANY LOGO AT TOP OF MENU; HANDWRITTEN;,1901-1713,,,6/21/1901,Oceanic Steamship Company,,,,complete,2,24
14149,,INTERNATIONAL ACETYLENE ASSOCIATION,ANNUAL DINNER,COMMERCIAL,"ELLICOTT CLUB, BUFFALO, NY",CARD; ILLUS; COL; 3.5 X 6.75;,ANNIVERSARY;,"WINES; TAN PRINT AND PICTURE OF MEDAL SAYING PAN-AMERICAN EXPOSTITION, BUFFALO, NY;",1901-1715,,,6/21/1901,International Acetylene Association,,,,complete,2,17
14150,,NORDDEUTSCHER LLOYD BREMEN,SUPPER (?),COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL;5.25 X 8.25;,,MENU IN GERMAN ONLY; ILLUSTATION OF SHIP AND ROCKY SHORE; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1717,,,6/21/1901,Norddeutscher Lloyd Bremen,,,,complete,2,15
14151,,NORDDEUTSCHER LLOYD BREMEN,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL;5.25 X 8.25;,,MENU IN GERMAN AND ENGLISH; ILLUSTATION OF SHIP AND MARINE SUPPLES; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1718,,,6/21/1901,Norddeutscher Lloyd Bremen,,,,complete,2,50
14152,,MAX PRALE AND WIFE GEB. KAHLE,SILVER WEDING ANNIVERSARY,SOC;,"HAMBURG, [GERMANY]",FOLDER; COL; 3.5 X 5.75;,RITE;,"MENU IN GERMAN; MENU ALSO USED AS PLACE CARD, IN THIS CASE HERR DR. SCHROEDER; PRINT AND BORDER IN SILVER; PLACE NOTED BY FEB;",1901-1724,,,6/22/1901,Max Prale And Wife Geb. Kahle,,,,complete,4,10
14153,,OCEANIC STEAMSHIP COMPANY,BREAKFAST - SECOND CABIN,COMMERCIAL,SS SONOMA,CARD; ILLUS; COL; 5.5X6.75;,,STEAMSHIP COMPANY LOGO AT TOP OF MENU;,1901-1727,,,6/22/1901,Oceanic Steamship Company,,,,complete,2,26
14154,,OCEANIC STEAMSHIP COMPANY,LUNCHEON - SECOND CABIN,COMMERCIAL,SS SONOMA,CARD; ILLUS; COL; 5.5X6.75;,,STEAMSHIP COMPANY LOGO AT TOP OF MENU;,1901-1728,,,6/22/1901,Oceanic Steamship Company,,,,complete,2,28
14155,,M.F.LYONS,LUNCH AND DINNER,COMMERCIAL,"259 BOWERY, NEW YORK",FOLDER; 7 X 11;,,PRICED WINE LIST AND MENU;,1906-1032,,,12/31/1906,M.F.Lyons,,Dollars,$,complete,4,351
14156,,M.F.LYONS,SUPPER  AND BREAKFAST,COMMERCIAL,"259 BOWERY, NEW YORK",FOLDER; 7 X 11;,,PRICED WINE LIST AND MENU; PLACE NOTED BY FEB;,1906-1033,,,12/31/1906,M.F.Lyons,,Dollars,$,complete,4,387
14157,,BRISTOL'S DINING ROOMS,SPECIALS OF DAY,COMMERCIAL,"161 BOWERY, NEW YORK",BROADSIDE; 6 X 11;,,PLACE NOTED BY FEB;,1906-1034,,,12/31/1906,Bristol's Dining Rooms,,Dollars,$,complete,2,89
14158,,BRISTOL'S DINING ROOMS,DAILY MENU,COMMERCIAL,"161 BOWERY, AND OTHERS, NEW YORK",FOLDER; 7 X 11.25;,,THIS APPEARS TO BE A CHAIN OF RESTAURANTS IN NEW YORK AND BROOKLYN;,1906-1035,,,12/31/1906,Bristol's Dining Rooms,,Dollars,$,complete,4,264
14159,,SIEGEL COOPER CO.,QUICK LUNCHEON AND AFTERNOON TEA,COMMERCIAL,NEW YORK,FOLDER; 7 X 10;,,PRICED MENU;,1906-1036,,,12/31/1906,Siegel Cooper Co.,,Dollars,$,complete,4,225
14160,,SIEGEL COOPER CO.,DAILY MENU,COMMERCIAL,NEW YORK,FOLDER; ILLUS; 8 X 14;,,PRICED MENU; ORNAMENTAL BORDER AND ILLUSTRATION;,1906-1037,,,12/31/1906,Siegel Cooper Co.,,Dollars,$,complete,4,314
14161,,SIEGEL COOPER CO.,BREAKFAST,COMMERCIAL,NEW YORK,FOLDER; 7 X 11.25;,,PRICED MENU;,1906-1038,,,12/31/1906,Siegel Cooper Co.,,Dollars,$,complete,4,246
14162,,FLEISCHMANN'S VIENNA MODEL BAKERY,DINNER,COMMERCIAL,"BROADWAY AND TENTH STREET, NEW YORK",FOLDER; 7 X 11.25;,,PRICED MENU;,1906-1040,,,12/31/1906,Fleischmann's Vienna Model Bakery,,Dollars,$,complete,2,68
14163,,HAIM'S QUICK LUNCH RESTAURANT,DAILY MENU,COMMERCIAL,"358 BOWERY, NEW YORK CITY",BROADSHEET; 5.5X9.25;,,DATE NOTED BY FEB;,1906-1041,,,12/31/1906,Haim's Quick Lunch Restaurant,,Dollars,$,complete,2,53
14164,,CASTLETON HOTEL,DINNER,COMMERCIAL,"NEW BRIGHTON,S.I. NY",FOLDER; ILLUS; COL;4.5 X 6.5;,PATRIOTIC HOLIDAY;,,1901-1846,,,7/4/1901,Castleton Hotel,,,,complete,4,43
14167,,BULL'S HEAD RESTAURANT,DINNER,COMMERCIAL,?,BROADSIDE;6 X 9.75;,DAILY,"MENU HANDWRITTEN, PRICES INCLUDED;",1901-1849,,,7/4/1901,Bull's Head Restaurant,,Dollars,$,complete,2,33
14169,,HAMBURG-AMERIKA LINIE - EXPRWSS-STEAMER FURST BISMARCK,DINNER,COMMERCIAL,EN ROUTE,FOLDER; ILLUS; COL;4.75 X 7;,,MENU IN GERMAN & ENGLISH; MUSIC PROGRAM INCLUDED;,1901-1853,,,7/4/1901,Hamburg Amerika Linie  Steamer Furst Bismarck,,,,complete,4,26
14170,,ANCHOR LINE - S.S.CITY OF ROME,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; AMERICAN FLAG; RED WHITE & BLUE COL; 4.75 X 7;,PATRIOTIC HOLIDAY;,WORDS OF STAR SPANGLED BANNER ON BACK;,1901-1854,,,7/4/1901,Anchor Line   S.S.City Of Rome,,,,under review,2,28
14171,,COLUMBIA RESTAURANT,LUNCH & DINNER,COM,48 . 14 ST. NY,FOLDER; ILLUS; 7 X 11.25;,DAILY,ALL PRICES INCLUDED; WINE LIST ON BACK;,1901-1856,,,7/4/1901,Columbia Restaurant,,Dollars,$,complete,4,502
14173,,GREAT NORTHERN SYSTEM - DINING CARS,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS; 4.5 X 7;,,ALL PRICES LISTED;,1901-1858,,,1/1/1901,Great Northern System   Dining Cars,,Dollars,$,complete,2,33
14174,,GREAT NORTHERN SYSTEM - DINING CARS,BUFFET SERVICE [BREAKFAST],COM,EN ROUTE,BROADSIDE; ILLUS; 4.5 X 7;,,ALL PRICES LISTED;,1901-1859,,,1/1/1901,Great Northern System   Dining Cars,,Dollars,$,complete,2,46
14175,,HAMBURG-AMERIKA - EXPRESS STEAMER FURST BISMARCK,BREAKFAST,COM,EN ROUTE,FOLDER;COL;4 X 6;,,MENU IN GERMAN & ENGLISH;,1901-1862,,,7/5/1901,Hamburg Amerika   Express Steamer Furst Bismarck,,,,complete,4,80
14177,,WORTHY HOTEL,DINNER,COMMERCIAL,"SPRINGFIELD, MASS.",FOLDER;6 X 9.5;,DAILY,COMPLETE MENU WITH PRICES;,1901-1866,,,7/5/1901,Worthy Hotel,,Dollars,$,complete,4,223
14178,,STATLER'S HOTEL,BREAKFAST,COMMERCIAL,"BUFFALO,NY",BROADSIDE; ILLUS; COL; 6 X 8;,DAILY,,1901-1867,,,7/5/1901,Statler's Hotel,,,,complete,2,22
14179,,STATLER'S HOTEL,LUNCHEON,COM,"BUFFALO, NY",BROADSIDE; ILLUS; COL; 6X8;,,,1901-1868,,,7/5/1901,Statler's Hotel,,,,complete,2,20
14180,,STATLER'S HOTEL,DINNER,COM,"BUFFALO,NY",BROADSIDE; ILLUS; COL; 6X8;,,,1901-1869,,,7/5/1901,Statler's Hotel,,,,complete,2,24
14181,,CHATEAU FRONTENAC,LUNCHEON,COMMERCIAL,"QUEBEC, CANADA",CARD; COL; 3.75 X 5.25;,,RED PRINT; LOGO;,1901-1959,,,7/13/1901,Chateau Frontenac,,,,complete,2,35
14182,,O. D.,DINNER,[COM],EN ROUTE,BROADSIDE; NAUTICAL FLAG;5 X 8;,,,1901-1964,,,7/20/1901,O. D.,,,,complete,2,30
14183,,OCEANIC STEAMSHIP COMPANY - SIERRA,[BREAKFAST],COM,EN ROUTE,BROADSIDE; EMBLEM; 5.25 X 7.25;,,MENU HANDWRITTEN;,1901-1965,,,7/20/1901,Oceanic Steamship Company   Sierra,,,,complete,2,21
14184,,OCEANIC STEAMSHIP COMPANY - SIERRA,[LUNCH],COM,EN ROUTE,BROADSIDE; EMBLEM; 5.25 X 7.25;,,MENU HANDWRITTEN;,1901-1966,,,7/20/1901,Oceanic Steamship Company   Sierra,,,,complete,2,34
14185,,CHAMPLAIN HOTEL,BREAKFAST,COMMERCIAL,CLINTON COUNTY.NY,BROADSIDE; ILLUS; COL; 5 X 7;,,,1901-2148,,,8/13/1901,Champlain Hotel,,,,complete,2,46
14186,,,,,,,,,,,,8/13/1901,Champlain Hotel,,,,complete,2,45
14187,,CHAMPLAIN HOTEL,DINNER,COMMERCIAL,"CLINTON COUNTY, NY.",BROADSIDE; ILUS; COL; 5.25 X 8.5;,,,1901-2149,,,8/13/1901,Champlain Hotel,,,,complete,2,45
14188,,ATLANTIC TRANSPORT LINE - S.S.MESABA,DINNER,COMMERCIAL,EN ROUTE,BROADSIDE; EMBLEM; 4.25 X 6.5;,,,1901-2153,,,8/15/1901,Atlantic Transport Line   S.S.Mesaba,,,,complete,2,25
14189,,HOTEL DE L'ANGE,DINNER,COMMERCIAL,"LUZERN,SWITZERLAND",CARD; ILLUS; 4.75X7.75;,DAILY;,"WINKELRIED-AUFFUHRUNGEN SCULPTURE; MENU MARKED MAI-SEPTEMBER; DATE WRITTEN BY HAND; ON BACK WITH AN ASTERISK, MISS WINANS WRITTEN BY HAND;",1901-2157,,,8/15/1901,Hotel De L'ange,,,,complete,2,7
14190,,KURHAUS,DINNER,,RIGI-KALTBAD,CARD; ILLUS; COL; 4X75X8;,,"BUILDINGS ON TERRACED HILL AT SHORE; ART NOUVEAU DECORATIONS; ON BACK WITH ASTERISK,PROF. R. GOTTHEIL WRITTEN BY HAND;",1901-2158,,,8/15/1901,Kurhaus,,,,complete,2,11
14191,,ATLANTA AND WEST POINT RAILROAD CO.,WINE LIST,COMMERCIAL,DINING CAR,CARD; ILLUS; COL; 5.5X6.5;,DAILY;,GEORGIA STATE CAPITOL AND FIRST CAPITOL OF THE CONFEDERACY PICTURED ON BACK;,1901-2164,,,8/15/1901,Atlanta And West Point Railroad Co.,,Dollars,$,complete,2,54
14194,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,"SCHULSCHIFF  ""HERZOGIN SOPHIE CHARLOTTE""",CARD; ILLUS; COL; 5.25X8;,,GERMAN; ILLUSTRATION OF SAILBOAT IN FULL MAST AT SEA; ALSO A POSTCARD;,1901-2288,,,9/8/1901,Norddeutscher Lloyd Bremen,,,,complete,2,5
14195,,HUDSON RIVER DAY LINE,TABLE D'HOTE DINNER,COMMERCIAL,STEAMER NEW YORK,CARD; ILLUS; COL; 4.5X7.25;,,"ILLUSTRATION OF COMPANY FLAT AT TOP; "" PRICE: ONE DOLLAR;"" [DATE INFO HANDWRITTEN];",1901-2289,,,9/1/1901,Hudson River Day Line,,,,complete,2,28
14196,,UNION PACIFIC DINING CAR SERVICE,SUPPER,COMMERCIAL,EN ROUTE,CARD; ILLUS; COL; 5.5X7.25;,,"A LA CARTE MENU; COMPANY LOGO AT TOP; [DATE INFO HANDWRITTEN]; ON BACK, SCENE OF TRACK LAYING IN WYOMING;",1901-2292,,,9/1/1901,Union Pacific Dining Car Service,,Dollars,$,under review,2,77
14197,,NORDDEUTSCHER LLOYD BREMEN,MITTAGESSEN,COMMERCIAL,"SS ""FRIEDRICH DER GROSSE""",FOLDER; ILLUS; COL; 5X7.5;,,GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP AT SEA;,1901-2294,,,9/8/1901,Norddeutscher Lloyd Bremen,,Dollars,$,complete,2,145
14198,,DUTCHER HOUSE,DINNER,COMMERCIAL,,CARD; 4.5X6.25;,,TABLE D'HOTE MENU;,1901-2296,,,9/8/1901,Dutcher House,,Dollars,$,complete,2,251
14199,,STONINGTON LINE,MENU,COMMERCIAL,STEAMER MAINE,FOLDER; 11X8.5;,,A LA CARTE MENU;,1901-2297,,,1/1/1901,Stonington Line,,Dollars,$,complete,2,249
14200,,UNION PACIFIC,LUNCHEON,COMMERCIAL,DINING CAR SERVICE,CARD; ILLUS; COL; 5.5X7.25;,,A LA CARTE MENU; COMPANY LOGO AT TOP; PHOTO OF 3000 SHEEP IN WYOMING;,1901-2299,,,9/1/1901,Union Pacific,,,,complete,2,46
14201,,HAMBURG-AMERIKA LINIE,SUPPER,COMMERCIAL,SS FURST BISMARCK,CARD; ILLUS; COL; 5X8;,DAILY;,SHIP AT SEA;WOMAN HOLDING SHIELD AMONG FOOD AND IMPLEMENTS;CITYSCAPE IN BACKGROUND;MENU IN GERMAN;,1901-1878,,,7/6/1901,Hamburg Amerika Linie,,,,complete,2,7
14202,,TATLER'S HOTEL,LUNCH,COMMERCIAL,"ELLICOTT SQUARE,BUFFALO,[NY?]",CARD; ILLUS; COL; 6X8;,DAILY;,BUILDINGS;,1901-1886,,,7/6/1901,Statler's Hotel,,,,complete,2,19
14203,,GRAND HOTEL DE STE-MAXIME,DINER,COMMERCIAL,"STE-MAXIME,ZERMATT,[SWITZERLAND?]",BROADSIDE; ILLUS; 5.25X8.25;,DAILY;,"HARBOR; BUILDING; FRENCH MENU; RUBBER STAMP,HOTELS SEILER,ZERMATT;",1901-1887,,,7/6/1901,Grand Hotel De Ste Maxime,,,,complete,2,10
14204,,U.S.M.S.PHILADELPHIA,LUNCHEON,NAV; (?),EN ROUTE,CARD; 4 X 6.25;,,LOG0; PRICED WINE LIST ON BACK OF MENU;,1901-2517,,,10/15/1901,U.S.M.S.Philadelphia,,Dollars,$,complete,4,294
14205,,U.S.M.S.PHILADELPHIA,DINNER,NAV; (?),EN ROUTE,CARD; 4 X 6.25;,,LOG0; PRICED WINE LIST ON BACK OF MENU;,1901-2518,,,10/15/1901,U.S.M.S.Philadelphia,,Dollars,$,complete,4,280
14206,,STATE DEPARTMENT SPECIAL TO THE PAND-AMERICAN CONGRESS AT THE CITY OF MEXICO (PULLMAN CAR SERVICE),BREAKFAST,GOVT;,EN ROUTE,CARD; 5 X 7;,,,1901-2519,,,10/15/1901,State Department Special To The Pand American Congress At The City Of Mexico (Pullman Car Service),,Dollars,$,complete,4,281
14207,,OCEANIC SREAMSHIP COMPANY - SIERRA,DINNER,COM,EN ROUTE,BROADSIDE;EMBLEM; 5.25 X 8.5;,,MENU HANDWRITTEN;,1901-1967,,,7/20/1901,Oceanic Sreamship Company   Sierra,,,,complete,2,29
14208,,OCEANIC STEAMSHIP COMPANY - SIERRA,DINNER,COM,EN ROUTE,BROADSIDE; EMBLEM; 5.25 X 8.5;,,MENU HANDWRITTEN;,1901-1968,,,7/20/1901,Oceanic Steamship Company   Sierra,,,,complete,2,32
14209,,NIPPON YUSEN KAISHA - S.S.ROSETTA MAM,DINNER,COM,EN ROUTE,FOLDER; JAPANESE GIRL ILLUS; COL; 5.25 X 7.5;,,MENU HANDWRITTEN; MAP OF TRIP ON COVER;,1901-1973,,,7/20/1901,Nippon Yusen Kaisha   S.S.Rosetta Mam,,,,complete,2,15
14210,,GREAT NORTHERN SYSTEM - DINING CAR,BREAKFAST,COM,EN ROUTE,BROADSHEET; ILLUS; COL; 4.75 X 7;,,A LA CARTE MENU WITH PRICES; COMPLETE WINE LIST ON BACK;,1901-1974,,,1/1/1901,Great Northern System   Dining Car,,Dollars,$,complete,2,97
14211,,RALEIGH HOTEL & RESTAURANT,DAILY MENU,COM,"663 BROADWAY,NY",BROADSIDE; 6.5 X 11;,DAILY,ALL PRICES LISTED;,1901-1976,,,7/21/1901,Raleigh Hotel & Restaurant,,Dollars,$,complete,2,71
14212,,CHATEAU FRONTENAC HOTEL,DINNER,COM,"QUEBEC,CANADA",BROADSHEET; HOTEL EMBLEM;3.75 X 5.25;,,MENU IN FRENCH; DESCRIPTION OF DINING ROOM TAPESTRIES ON BACK;,1901-1977,,,7/21/1901,Chateau Frontenac Hotel,,,,complete,2,26
14213,,HADDON HALL,BREAKFAST,COM,"ATLANTIC CITY, NJ",BROADSIDE; HOTEL EMBLEM; 5 X 7;,DAILY,,1901-1979,,,7/21/1901,Haddon Hall,,,,complete,2,69
14214,,NIPPON YUSEN KAISHA - S.S.ROSETTA MARU,DINNER,COM,EN ROUTE,FOLDER; JAPANESE SCENE;COL; 5 X 7.5;,,MENU HANDWRITTEN; COVER IS MAP OF TRIP;,1901-1980,,,7/21/1901,Nippon Yusen Kaisha   S.S.Rosetta Maru,,,,complete,2,18
14215,,OCEANIC STEAMSHIP COMPANY - SIERRA,BREAKFAST,COM,EN ROUTE,BROADSIDE; EMBLEM; 5.25 X 7.25;,,MENU HANDWRITEN,1901-1981,,,7/21/1901,Oceanic Steamship Company   Sierra,,,,complete,2,25
14216,,OCEANIC STEAMSHIP COMPANY -SIERRA,DINNER,COMMERCIAL,EN ROUTE,BROADSIDE; EMBLEM; 5.25 X 8.5;,,MENU HANDWRITEN;,1901-1983,,,7/21/1901,Oceanic Steamship Company  Sierra,,,,complete,2,33
14217,,OCEANIC STEAMSHIP COMPANY - S.S. ZEALANDIA,BREAKFAST,COM,EN ROUTE,BROADSIDE; EMBLEM; 5.25 X 7.25;,,MENU HANDWRITTEN;,1901-1984,,,7/21/1901,Oceanic Steamship Company   S.S. Zealandia,,,,complete,2,29
14218,,OCEANIC STEAMSHIP COMPANY - S.S.ZEALANDER,LUNCHEON,COM,EN ROUTE,BROADSIDE; EMBLEM; 5.35 X 7.25;,,MENU HANDWRITTEN;,1901-1985,,,7/21/1901,Oceanic Steamship Company   S.S.Zealander,,,,complete,2,28
14219,,HANBURG-AMERIKA LINIE  - STEAMER FURST BISMARCK,DINNER,COM,EN ROUTE,FOLDER ILLUS COVER; COL; 4.5 X 7;,,MENU IN BOTH GERMAN & ENGLISH; MUSIC PROGRAM LISTED;,1901-1990,,,7/21/1901,Hanburg Amerika Linie    Steamer Furst Bismarck,,,,complete,4,32
14220,,COOLEY'S,BREAKFAST,COM,"SPRINGFIELD,MASS.",BROADSIDE; COL;5 X 6.5;,DAILY,,1901-1991,,,7/1/1901,Cooley's,,,,complete,2,35
14221,,COOLEY'S,SUPPER,COM,"SPRINGFIELD,MASS.",BROADSIDE; COL; 5 X 6.5;,DAILY,,1901-1992,,,7/1/1901,Cooley's,,,,complete,2,26
14222,,COOLEY'S,SUNDAY TEA,COMMERCIAL,"SPRINGFIELD,MASS.",FOLDER;5 X 7;,,HOURS FOR EACH MEAL LISTED;,1901-1993,,,7/21/1901,Cooley's,,,,complete,4,20
14223,,COOLEY'S,DINNER,COM,"SPRINGFIELD,MASS.",FOFLDER; 6 X 9;,,,1901-1994,,,7/21/1901,Cooley's,,,,complete,4,34
14224,,CHATEAU FRONTENAC,LUNCHEON,COM,"QUEBEC,CANADA",BROADSIDE;HOTEL EMBLEM;3.5 X 5.5;,,,1901-1995,,,7/22/1901,Chateau Frontenac,,,,complete,2,35
14225,,UNION PACIFIC,BREAKFAST,COMMERCIAL,DINING CAR SERVICE,CARD; ILLUS; COL; 5.5X7;,,A LA CARTE MENU; COMPANY LOGO AT TOP; SCENE OF TRACK LAYING IN WYOMING ON BACK;,1901-2310,,,9/1/1901,Union Pacific,,Dollars,$,complete,2,51
14226,,(HOTEL ZUM HIRSCH),WINKELRIED-AUFFUHRUNGEN,COMMERCIAL,"HOCHDORF CT LUZERN, SWITZERLAND",CARD; ILLUS; 4.5X7.5;,,FRENCH; CLASSICAL SCULPTURE AT TOP OF MENU;,1901-2311,,,5/9/1901,Hotel Zum Hirsch,,,,complete,2,8
14227,,UNION PACIFIC,SUPPER,COMMERCIAL,DINING CAR SERVICE,CARD; ILLUS; COL; 5.5X7;,,A LA CARTE MENU; COMPANY LOGO AT TOP; SCENE OF TRACK LAYING IN WYOMING ON BACK;,1901-2313,,,9/1/1901,Union Pacific,,Dollars,$,complete,2,68
14229,,NORDDEUTSCHER LLOYD BREMEN,[LUNCH],COM,"EN ROUTE - ""FRIEDRICH DER GROSSE""",BROADSIDE; ILLUS; COL; 5.5 X 8.25;,,MENU IN GERMAN;,1901-2321,,,9/12/1901,Norddeutscher Lloyd Bremen,,,,complete,2,12
14230,,NORDDEUTSCHER LLOYD BREMEN,MITTAGESSEN [DINNER],COM,"EN ROUTE - ""FRIEDRICH DER GROSSE""",BROADSIDE; ILLUS; COL; 5.5 X 8.25;,,MENU IN GERMAN ONLY;,1901-2322,,,9/12/1901,Norddeutscher Lloyd Bremen,,,,complete,2,12
14231,,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COM,"EN ROUTE - :FRIEDRICH DER GROSSE""",BROADSIDE; ILLUS; COL; 5.5 X8.25;,,MENU IN GERMAN & ENGLISH;,1901-2323,,,9/12/1901,Norddeutscher Lloyd Bremen,,,,complete,2,67
14236,,WEST SIDE TRADE BROKERS ASS'N,FIFTH ANNUAL DINNER,PROF;,"HEALY'S, BROADWAY, 66TH ST. AND COLUMBUS AVE; NEW YORK",OLDER; COL; 4.5 X 6.5;,ANNIVERSARY;,COCKTAILS AND WINES LISTED; PALE BLUE STOCK;,1905-1006,,,12/16/1905,West Side Trade Brokers Ass'n,,,,complete,4,20
14239,,NATIONAL GEOGRAPHIC SOCIETY,ANNUAL DINNER,PROF;,"THE NEW WILLARD [WASHINGTON, DC",FOLDER; 5.25 X 7.5;,ANNIVERSARY;,WINES; TOASTS;,1905-1010,,,12/20/1905,National Geographic Society,,,,complete,8,20
14240,,MARGARET LOUISA HOME OF THE YOUNG WOMEN'S CHRISTIAN ASSOCIATION,LUNCH,SOC;,"16 EAST 16TH STREET, [NEW YORK]",CARD; 4 X 4.5;,,"OPEN TO WOMEN ONLY, CHILDREN NOT ADMITTD;",1905-1011,,,12/20/1905,Margaret Louisa Home Of The Young Women's Christian Association,,Dollars,$,complete,2,12
14241,,LINCOLN CLUB,RECEPTION AND BANQUET IN HONOR OF HERMAN A. METZ,[POL?);,NEW YORK,FOLDER; ILLUS; 6.5 X 9.5;,COMPLIMENTARY/TESTIMONIAL,"WINES; TOASTS; PHOTO OF HERMAN A. METZ, COMPTROLLER-ELECT OF THE CITY OF NEW YORK;",1905-1012,,,12/20/1905,Lincoln Club,,,,complete,5,22
14243,,HOTEL CHAMPLAIN,DINNER,COMMERCIAL,"CLINTON,NY",CARD; ILLUS; COL; 5.25X8.5,DAILY;,EMBLEM; BUILDINGS ON HILLTOP;,1901-2175,,,8/19/1901,Hotel Champlain,,,,complete,2,10
14244,,COUNCIL R.& S.M.,DINNER,,"BEDELL HOUSE,GRAND ISLAND,NY",CARD; 5.5X9.5;,COMPLIMENTARY/TESTIMONIAL,"ANNUAL CONCLAVE; OSSIAN BEDELL,GRAND ISLAND, ERIE CO NY WRITTEN BY HAND ON BACK;",1901-2176,,,8/19/1901,Council R.& S.M.,,,,complete,2,18
14245,,ATLANTIC TRANSPORT LINE,DINNER,COMMERCIAL,SS MESABA;,CARD; ILLUS; COL; 4.25X6.5;,DAILY;,"FLAG; ASTERISK,MISS WINANS WRITTEN BY HAND;",1901-2178,,,8/19/1901,Atlantic Transport Line,,,,complete,2,25
14246,,ARMSTRONGS DEPOT RESTAURANT,LUNCH-DINNER,COMMERCIAL,"PORTSMOUTH,NH",BROADSIDE; ILLLUS; 4X6.5;,DAILY;,"MENU PASTED ON CARD BACKING; DATE WRITTEN BY HAND; MEN AT COUNTER SERVED BY WOMAN; ADVERTISEMENTS; ASTERISK, MISS LEFFINGWELL. AND DATE;",1901-2180,,,8/20/1901,Armstrongs Depot Restaurant,,,,complete,2,55
14247,,SIEGEL-COOPER CO.,LUNCHEON,COMMERCIAL,"SIXTH AVE AND 18TH & 19TH STS., NY",BROADSHEET; COL; 7X11;,DAILY;,LIST OF SUMMER DRINKS ON BACK INCLUDING RASPBERRY VINEGAR.,1901-2182,,,8/20/1901,Siegel Cooper Co.,,Dollars,$,complete,2,117
14248,,BAILEY CATERING COMPANH,DINNER,COMMERCIAL,"ELECTRIC TOWER RESTAURANT,PAN AMERICAN EXPOSITION",FOLDER; COL; 5.5X8.5;,DAILY;,WINE LIST; CAUTIONARY NOTE TO PATRONS WITH FACSIMILE OF CHECK ILLUSTRATED;,1901-2184,,,8/21/1901,Bailey Catering Companh,,Dollars,$,complete,2,171
14249,,OCEANIC STEAMSHIP COMPANY,LUNCHEON,COMMERCIAL,SS ZEALANDIA,CARD; ILLUS; COL; 5.5X7;,DAILY;,FLAG;,1901-2187,,,8/22/1901,Oceanic Steamship Company,,,,complete,2,31
14250,,SUMMIT HOUSE,DINNER,COMMERCIAL,"MOUNT WASHINGTON, NH",CARD; 4.5X7;,DAILY;,,1901-2194,,,8/23/1901,Summit House,,,,under review,2,43
14251,,SIEGEL COOPER CO.,LUNCHEON,COMMERCIAL,,CARD; 6.25X10;,DAILY;,SPECIAL SUMMER DAIRY AND VEGETARIAN MENU;,1901-2195,,,8/23/1901,Siegel Cooper Co.,,Dollars,$,complete,2,140
14252,,L,DINNER,,?,CARD;ILLUS;4.5X6.5;,,WINES;SCANDANAVIAN LANGUAGE MENU;MUSIC;,1901-1755,,,6/24/1901,L,,,,complete,2,21
14253,,TATLER'S HOTEL,LUNCHEON,COMMERCIAL,"ELLICOTT SQUARE,BUFFALO,[NY?]",CARD; ILLUS; COL; 6X8;,DAILY;,BUILDINGS;,1901-1898,,,7/7/1901,Tatler's Hotel,,,,complete,2,20
14254,,TATLER'S HOTEL,DINNER,COMMERCIAL,"ELLICOTT SQUARE,BUFFALO,[NY?]",CARD; ILLUS; COL; 6X8;,DAILY;,BUILDINGS;,1901-1899,,,7/7/1901,Tatler's Hotel,,,,complete,2,23
14255,,CHATEAU FRONTENAC,DINNER,COM,"QUEBEC,CANADA",BROADSHEET; 3.5 X 5.5;,,DESCRIPTION OF DINING ROOM TAPESTRIES ON BACK;,1901-1996,,,7/22/1901,Chateau Frontenac,,,,complete,2,25
14256,,OCEANIC STEAMSHIP COMPANY -SIERRA,BREAKFAST,COM,EN ROUTE,BROADSIDE; EMBLEM;5.25 X 7.25;,,MENU HANDWRITTEN;,1901-1998,,,7/22/1901,Oceanic Steamship Company  Sierra,,,,complete,2,21
14257,,OCEANIC STEAMSHIP COMPANY -S.S.ZEALANDER,BREAKFAST,COM,EN ROUTE,BROADSIDE; EMBLEM; 5.25 X 7.25;,,MENU HANDWRITTEN;,1901-2000,,,7/22/1901,Oceanic Steamship Company  S.S.Zealander,,,,complete,2,30
14258,,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S. ROSETTA MARU,FOLDER; COL; ILLUS; 5.25 X 7.5;,,HANDWRITTEN; ILLUSTRATION OF SAMURAI; OUTSIDE COVER CONSISTS OF A MAP SHOWING ROUTES OF LINE;,1901-2006,,,7/22/1901,Nippon Yusen Kaisha,,,,complete,4,17
